2015-09-14 14:11:49,220, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.79000000000002jump up value: 0.5199999999999818temp limit value: 0.0
2015-09-14 14:11:53,628, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.430000000000007jump up value: -5.460000000000036temp limit value: 0.28430000000000005
2015-09-14 14:11:53,630, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.170000000000016jump up value: -4.6200000000000045temp limit value: 0.0
2015-09-14 14:11:55,834, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.090000000000032jump up value: 0.9200000000000159temp limit value: 0.0
2015-09-14 14:11:58,038, DEBUG, DOWN VALUE-TambAmbient temperature value: 21.930000000000007jump up value: -1.160000000000025temp limit value: 0.0
2015-09-14 14:12:00,240, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.53000000000003jump up value: 0.6000000000000227temp limit value: 0.0
2015-09-14 14:12:04,648, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.650000000000034jump up value: 3.2200000000000273temp limit value: 0.31650000000000034
2015-09-14 14:12:04,651, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.470000000000027jump up value: 0.9399999999999977temp limit value: 0.0
2015-09-14 14:12:06,855, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 30.470000000000027jump up value: -1.1800000000000068temp limit value: 0.3047000000000003
2015-09-14 14:12:06,858, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.890000000000043jump up value: -0.5799999999999841temp limit value: 0.0
2015-09-14 14:12:09,062, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.750000000000057jump up value: 1.2800000000000296temp limit value: 0.31750000000000056
2015-09-14 14:12:09,063, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.670000000000016jump up value: 0.7799999999999727temp limit value: 0.0
2015-09-14 14:12:13,471, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.450000000000045jump up value: 2.6999999999999886temp limit value: 0.3445000000000005
2015-09-14 14:12:13,473, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.630000000000052jump up value: 2.9600000000000364temp limit value: 0.0
2015-09-14 14:12:20,088, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 33.89000000000004jump up value: -0.5600000000000023temp limit value: 0.3389000000000004
2015-09-14 14:12:24,500, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.57000000000005jump up value: 0.6800000000000068temp limit value: 0.3457000000000005
2015-09-14 14:12:26,704, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.250000000000057jump up value: -6.319999999999993temp limit value: 0.2825000000000006
2015-09-14 14:12:26,707, DEBUG, DOWN VALUE-TambAmbient temperature value: 24.690000000000055jump up value: -1.9399999999999977temp limit value: 0.0
2015-09-14 14:12:28,911, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.33000000000004jump up value: -0.9200000000000159temp limit value: 0.27330000000000043
2015-09-14 14:12:28,914, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.430000000000007jump up value: -1.2600000000000477temp limit value: 0.0
2015-09-14 14:12:31,117, DEBUG, UP VALUE-Tobj:--> object temperature value: 28.510000000000048jump up value: 1.1800000000000068temp limit value: 0.28510000000000046
2015-09-14 14:12:31,118, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.350000000000023jump up value: -1.079999999999984temp limit value: 0.0
2015-09-14 14:12:33,321, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.99000000000001jump up value: -0.5200000000000387temp limit value: 0.2799000000000001
2015-09-14 14:12:35,526, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.99000000000001jump up value: 1.6399999999999864temp limit value: 0.0
2015-09-14 14:12:37,730, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.49000000000001jump up value: 3.5temp limit value: 0.3149000000000001
2015-09-14 14:12:37,733, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.29000000000002jump up value: -0.6999999999999886temp limit value: 0.0
2015-09-14 14:12:39,937, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 30.870000000000005jump up value: -0.6200000000000045temp limit value: 0.30870000000000003
2015-09-14 14:12:42,142, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.53000000000003jump up value: 0.660000000000025temp limit value: 0.3153000000000003
2015-09-14 14:12:44,348, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 30.33000000000004jump up value: -1.1999999999999886temp limit value: 0.3033000000000004
